neighbourhood_cleansed,length_of_listing_name,length_of_summary,length_of_description,name_tf_idf_sum,summary_tf_idf_sum,description_tf_idf_sum,summary_ARI,description_ARI,name_polarity,summary_polarity,description_polarity,name_subjectivity,summary_subjectivity,description_subjectivity,price,review_scores_rating,reviews_per_month
Lincoln Park,30.5017793594306,236.395017793594,845.078291814947,0.601459749495318,0.426876454749995,0.736703732300588,0.123559926132524,0.158563978404966,0.219580297124781,0.335424098012176,0.290673921103527,0.405879370728125,0.541488834649835,0.509755241457316,171.720430107527,93.2953736654804,2.0885409252669
Near North Side,30.4558139534884,229.123255813954,812.672093023256,0.618325688680353,0.424679689105206,0.725108826075506,0.111523742429649,0.138461912630259,0.220177950602369,0.345162249341512,0.300581190823946,0.380345640793315,0.55237085866358,0.518112266252722,189.104895104895,93.7232558139535,2.08337209302326
Loop,31.0320512820513,233.185897435897,765.352564102564,0.59643052633913,0.423271378807549,0.694673300631013,0.11499408555265,0.142105627766852,0.259314158064158,0.351834202558905,0.298384204265516,0.420154637029637,0.557927643839846,0.530645021457008,210.769230769231,93.7628205128205,1.73474358974359
West Town,30.7551020408163,242.348639455782,853.658163265306,0.615428198605267,0.434452002157821,0.742120292759298,0.11225959461151,0.121749644334984,0.205982814662662,0.291925035982221,0.270967920260008,0.412289283137497,0.514844111938075,0.506176404302052,150.645655877342,95.015306122449,2.3256462585034
Lake View,30.746170678337,236.131291028446,799.437636761488,0.553242768389946,0.422974461136426,0.70406430673878,0.117270905059993,0.161824110019209,0.176378871553926,0.302203970554471,0.268756591917575,0.378198868964733,0.518427034903434,0.501357484127645,147.378555798687,95.2210065645514,2.13741794310722
Logan Square,30.1661721068249,240.210682492582,877.620178041543,0.597544696719821,0.432149370572325,0.753378955177075,0.108044248131829,0.124613503642957,0.196133762380053,0.279520040459855,0.257684333270245,0.427710016656604,0.495392388096023,0.493766153172542,113.610119047619,95.1988130563798,2.50249258160237
Near West Side,29.8291457286432,243.613065326633,838.346733668342,0.612091449432977,0.430010635387479,0.727043788258684,0.105760354061561,0.120365121197909,0.19191052665927,0.294802549320377,0.273931144390468,0.406422861058539,0.511481453930809,0.497628965058915,152.678391959799,93.9849246231156,2.21226130653266
Uptown,30.939226519337,238.088397790055,823.066298342542,0.572123180196278,0.436765811146427,0.732806530352419,0.107196053360251,0.118878491941776,0.173913134900704,0.275388144657383,0.266135289398862,0.407370897212057,0.506601953547198,0.502289630773382,133.552486187845,94.6132596685083,2.03629834254144
Edgewater,30.008064516129,254.903225806452,819.677419354839,0.508598679804392,0.444584457407483,0.709979378466108,0.12199094444979,0.163569858136959,0.188968894009217,0.277465207103924,0.253963392646202,0.43338133640553,0.503795192156367,0.501952564470283,99.1774193548387,94.4112903225806,2.33120967741935
